t,i,eᵢₜ real,eᵢₜ simulated,difference,% from real
1,EU,214175,221903,7728,3.61%
1,USA,642833,581911,-60922,-9.48%
2,EU,272709,243627,-29082,-10.66%
2,USA,614911,603602,-11309,-1.84%
3,EU,304784,265129,-39655,-13.01%
3,USA,677064,625110,-51954,-7.67%
4,EU,320457,286426,-34031,-10.62%
4,USA,703344,646435,-56909,-8.09%
5,EU,339106,307528,-31578,-9.31%
5,USA,589517,667541,78024,13.24%
6,EU,339548,328442,-11106,-3.27%
6,USA,692124,688428,-3696,-0.53%
7,EU,374748,349133,-25615,-6.84%
7,USA,712983,709113,-3870,-0.54%
8,EU,376143,369607,-6536,-1.74%
8,USA,694618,729611,34993,5.04%
9,EU,383280,389937,6657,1.74%
9,USA,711175,749906,38731,5.45%
10,EU,402313,410010,7697,1.91%
10,USA,677689,769996,92307,13.62%
11,EU,426342,429930,3588,0.84%
11,USA,742828,789925,47097,6.34%
12,EU,446741,449636,2895,0.65%
12,USA,778631,809635,31004,3.98%
13,EU,457772,469122,11350,2.48%
13,USA,772001,829144,57143,7.40%
14,EU,454894,488478,33584,7.38%
14,USA,748069,848417,100348,13.41%
15,EU,459768,507528,47760,10.39%
15,USA,770642,867525,96883,12.57%
16,EU,489918,526427,36509,7.45%
16,USA,788300,886398,98098,12.44%
17,EU,509587,545108,35521,6.97%
17,USA,785521,905095,119574,15.22%
18,EU,539333,563618,24285,4.50%
18,USA,814619,923591,108972,13.38%
19,EU,575435,581883,6448,1.12%
19,USA,850622,941920,91298,10.73%
20,EU,599520,599995,475,0.08%
20,USA,887918,960008,72090,8.12%
21,EU,617116,617899,783,0.13%
21,USA,924713,977926,53213,5.75%
22,EU,634013,635625,1612,0.25%
22,USA,971333,995619,24286,2.50%
23,EU,647287,653117,5830,0.90%
23,USA,1007829,1013090,5261,0.52%
24,EU,684286,670396,-13890,-2.03%
24,USA,1044820,1030404,-14416,-1.38%
25,EU,726258,687487,-38771,-5.34%
25,USA,1097559,1047499,-50060,-4.56%
26,EU,778190,704406,-73784,-9.48%
26,USA,1180503,1064363,-116140,-9.84%
27,EU,798886,721078,-77808,-9.74%
27,USA,1188102,1081085,-107017,-9.01%
28,EU,828837,737585,-91252,-11.01%
28,USA,1244874,1097564,-147310,-11.83%
29,EU,868435,753868,-114567,-13.19%
29,USA,1300844,1113882,-186962,-14.37%
30,EU,857383,769985,-87398,-10.19%
30,USA,1254019,1129986,-124033,-9.89%
31,EU,845236,785892,-59344,-7.02%
31,USA,1201617,1145884,-55733,-4.64%
32,EU,898940,801616,-97324,-10.83%
32,USA,1258004,1161611,-96393,-7.66%
33,EU,897884,817120,-80764,-8.99%
33,USA,1293235,1177097,-116138,-8.98%
34,EU,925776,832406,-93370,-10.09%
34,USA,1333750,1192438,-141312,-10.60%
35,EU,960617,847529,-113088,-11.77%
35,USA,1336732,1207508,-129224,-9.67%
36,EU,936515,862390,-74125,-7.92%
36,USA,1288031,1222406,-65625,-5.10%
37,EU,887225,877111,-10114,-1.14%
37,USA,1236924,1237124,200,0.02%
38,EU,868476,891627,23151,2.67%
38,USA,1174461,1251604,77143,6.57%
39,EU,857043,905897,48854,5.70%
39,USA,1184041,1265891,81850,6.91%
40,EU,853955,919958,66003,7.73%
40,USA,1220396,1280004,59608,4.88%
41,EU,873272,933874,60602,6.94%
41,USA,1225131,1293871,68740,5.61%
42,EU,871831,947604,75773,8.69%
42,USA,1225924,1307592,81668,6.66%
43,EU,886593,961111,74518,8.41%
43,USA,1278531,1321099,42568,3.33%
44,EU,874755,974409,99654,11.39%
44,USA,1334204,1334412,208,0.02%
45,EU,895755,987495,91740,10.24%
45,USA,1351263,1347537,-3726,-0.28%
46,EU,848807,1000390,151583,17.86%
46,USA,1315354,1360435,45081,3.43%
47,EU,1100066,1013098,-86968,-7.91%
47,USA,1314657,1373110,58453,4.45%
48,EU,1072844,1025601,-47243,-4.40%
48,USA,1338842,1385609,46767,3.49%
49,EU,1060751,1037896,-22855,-2.15%
49,USA,1371332,1397925,26593,1.94%
50,EU,1046543,1049997,3454,0.33%
50,USA,1389243,1410005,20762,1.49%
51,EU,1064818,1061908,-2910,-0.27%
51,USA,1399760,1421934,22174,1.58%
52,EU,1094270,1073628,-20642,-1.89%
52,USA,1432264,1433634,1370,0.10%
53,EU,1069294,1085131,15837,1.48%
53,USA,1464062,1445122,-18940,-1.29%
54,EU,1071238,1096457,25219,2.35%
54,USA,1472869,1456425,-16444,-1.12%
55,EU,1052757,1107548,54791,5.20%
55,USA,1501137,1467523,-33614,-2.24%
56,EU,1057707,1118420,60713,5.74%
56,USA,1552682,1478451,-74231,-4.78%
57,EU,1080517,1129129,48612,4.50%
57,USA,1525987,1489134,-36853,-2.42%
58,EU,1074190,1139629,65439,6.09%
58,USA,1538399,1499610,-38789,-2.52%
59,EU,1093478,1149898,56420,5.16%
59,USA,1547778,1509942,-37836,-2.44%
60,EU,1095774,1160002,64228,5.86%
60,USA,1569696,1519995,-49701,-3.17%
