t,i,eᵢₜ
1,EU,214175
1,USA,642833
2,EU,272709
2,USA,614911
3,EU,304784
3,USA,677064
4,EU,320457
4,USA,703344
5,EU,339106
5,USA,589517
6,EU,339548
6,USA,692124
7,EU,374748
7,USA,712983
8,EU,376143
8,USA,694618
9,EU,383280
9,USA,711175
10,EU,402313
10,USA,677689
11,EU,426342
11,USA,742828
12,EU,446741
12,USA,778631
13,EU,457772
13,USA,772001
14,EU,454894
14,USA,748069
15,EU,459768
15,USA,770642
16,EU,489918
16,USA,788300
17,EU,509587
17,USA,785521
18,EU,539333
18,USA,814619
19,EU,575435
19,USA,850622
20,EU,599520
20,USA,887918
21,EU,617116
21,USA,924713
22,EU,634013
22,USA,971333
23,EU,647287
23,USA,1007829
24,EU,684286
24,USA,1044820
25,EU,726258
25,USA,1097559
26,EU,778190
26,USA,1180503
27,EU,798886
27,USA,1188102
28,EU,828837
28,USA,1244874
29,EU,868435
29,USA,1300844
30,EU,857383
30,USA,1254019
31,EU,845236
31,USA,1201617
32,EU,898940
32,USA,1258004
33,EU,897884
33,USA,1293235
34,EU,925776
34,USA,1333750
35,EU,960617
35,USA,1336732
36,EU,936515
36,USA,1288031
37,EU,887225
37,USA,1236924
38,EU,868476
38,USA,1174461
39,EU,857043
39,USA,1184041
40,EU,853955
40,USA,1220396
41,EU,873272
41,USA,1225131
42,EU,871831
42,USA,1225924
43,EU,886593
43,USA,1278531
44,EU,874755
44,USA,1334204
45,EU,895755
45,USA,1351263
46,EU,848807
46,USA,1315354
47,EU,1100066
47,USA,1314657
48,EU,1072844
48,USA,1338842
49,EU,1060751
49,USA,1371332
50,EU,1046543
50,USA,1389243
51,EU,1064818
51,USA,1399760
52,EU,1094270
52,USA,1432264
53,EU,1069294
53,USA,1464062
54,EU,1071238
54,USA,1472869
55,EU,1052757
55,USA,1501137
56,EU,1057707
56,USA,1552682
57,EU,1080517
57,USA,1525987
58,EU,1074190
58,USA,1538399
59,EU,1093478
59,USA,1547778
60,EU,1095774
60,USA,1569696
