seed,type,N,T,b₀ᵢ,β,ρ,σₐ,σᵤ,iterations,LL,V_norm_finalstep,V_norm_true,V
1,True,3,50,"[-0.7058313895389791, 5.314767537831963, -8.06852326006714]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
1,Sample,3,50,,,,36.534476431934095,38.67312451431029,,,,,
1,Estimated,3,50,"[0.8529966047569965, 6.631794210160318, -8.06852326006714]","[-7.687488892831619, 1.0172325262063442]",0.40732367057989677,0.6627407455484571,1.1628368563015505,8,-115.56902291318497,0.0,265.01913500951554,
2,True,3,50,"[-0.05737244600260246, 17.35376213870901, -10.499249292429235]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
2,Sample,3,50,,,,32.29623529802358,31.553599036476093,,,,,
2,Estimated,3,50,"[-1.0875290381767075, 16.442547754117175, -10.499249292429235]","[-10.376149572168815, 1.1665010143525911]",0.7770815200581537,0.5807675875207465,1.064853756129098,7,-106.3722767069922,0.0,192.65826436422773,
3,True,3,50,"[-6.637635515551271, 13.632084599735597, 7.174105899241786]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
3,Sample,3,50,,,,31.6668623533438,30.709625326544018,,,,,
3,Estimated,3,50,"[-7.7673842645689355, 12.523786010197586, 7.174105899241786]","[13.973004043397781, 1.0990558691296042]",0.7894022497315986,0.4748760402055597,1.1197512328270967,9,-110.1730506448296,0.0,189.12714197811536,
4,True,3,50,"[17.07371258640649, 20.015123867881837, -13.910227569932225]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
4,Sample,3,50,,,,47.482927972345855,32.75578210931193,,,,,
4,Estimated,3,50,"[15.807988128762121, 18.597652795367186, -13.910227569932225]","[-31.04481748156223, 1.2321654124558294]",0.73365298106279,0.9700165384916484,1.0059570032690992,8,-112.06104545297184,0.0,176.38998238480298,
5,True,3,50,"[0.17205046232868315, 12.623658511338068, -5.38783938963471]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
5,Sample,3,50,,,,26.382886383532398,32.07912082897285,,,,,
5,Estimated,3,50,"[1.0866269441174456, 13.478237699275375, -5.38783938963471]","[-5.47602904395831, 0.8177657721785717]",0.7339316758792518,0.6572134907373541,1.0833151260010065,10,-110.29273413078772,0.0,208.28806034854935,
6,True,3,50,"[-19.757885774187898, -0.9383409762557428, -8.72228651890225]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
6,Sample,3,50,,,,33.032310398049866,28.39833797535628,,,,,
6,Estimated,3,50,"[-17.844340237599024, 0.8551646932563735, -8.72228651890225]","[10.870115196357592, 0.8082720884549577]",0.7201520379848299,0.7644420880111201,0.9842464300287018,10,-101.93062845995335,1.4184145334625538e-6,210.64232016351963,
7,True,3,50,"[-4.367936713637636, 19.856224858441557, -16.424770534206527]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
7,Sample,3,50,,,,38.284880777136706,28.690548354896684,,,,,
7,Estimated,3,50,"[-4.487041037229759, 19.55398796553684, -16.424770534206527]","[-12.299198580149818, 1.0141680222481617]",0.4124401899111554,0.8089102314879054,0.9782426585986183,8,-100.25109573436039,0.0,263.20722505833305,
8,True,3,50,"[-4.055422868676964, -0.2961763897970211, -17.184169587580925]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
8,Sample,3,50,,,,36.499025527000335,33.27510676892349,,,,,
8,Estimated,3,50,"[-2.7691033286539426, 1.0731730518398281, -17.184169587580925]","[-13.406373394137933, 1.0961505414175081]",0.7112196730214623,0.8961224532228949,1.0703193714239907,6,-116.59729096159529,0.0,195.1408503062108,
9,True,3,50,"[-2.627578050175094, 0.2635232095248958, -4.880484432760141]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
9,Sample,3,50,,,,40.06272902376934,31.416401187233493,,,,,
9,Estimated,3,50,"[-1.5635606879416124, 1.5149366380611102, -4.880484432760141]","[-2.0435855978858872, 0.8678228497499234]",0.8130429612022885,0.9745050707160824,0.9370714677242505,10,-104.91265552041325,2.1219010919729003e-5,98.2950205021425,
10,True,3,50,"[3.4105665015215996, -0.5408033548378681, 4.714032004737096]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
10,Sample,3,50,,,,28.01993308964587,26.94872674679771,,,,,
10,Estimated,3,50,"[4.930390993857486, 0.7976442239878105, 4.714032004737096]","[1.5367437346792345, 0.7982587370539304]",0.6512144135197242,0.6629824719147774,0.9476890511970089,10,-92.45558936085418,0.0,242.6235842464083,
