parameter,point_est,SE,CIlower,CIupper
ρ,0.9127233553314769,0.045718922308591314,0.8070988933877944,1.0183478172751592
B₀,945.2196951834987,226.36353590720302,491.934533286345,1398.5048570806525
β₁,93.48184249835191,15.983263236620608,61.47590994026335,125.48777505644047
β₂,0.03856621437014399,0.24880335589169456,-0.4596539119586621,0.5367863406989501
σ²θ,8279.854991525215,1513.2612405649472,5249.601626410049,11310.108356640381
σ²v,49598.955232159205,,,
σ²μ,164416.49125619698,,,
b₀₁-B₀,241.34942613447103,,,
b₀₂-B₀,-1077.9807170795161,,,
b₀₃-B₀,473.57906843255574,,,
b₀₄-B₀,363.05222251248875,,,
